interval,activecontainers,ips,apparentips,ram,disk,creationids,hostalloc,active
27,14,"[0, 1141.90064955642, 2534.217953193593, 0, 1254.9939763481898, 1237.8771935563511, 424.0391664736356, 4753.41573466032, 5888.650399259911, 1105.1729687313032, 0, 2310.5122840711024, 0, 627.7114297765422, 714.5225795860533, 504.17245939003664]","[4029.0, 1526.6389668683314, 4029.0, 0, 1334.352424128032, 1317.2356413361936, 1071.2634412012665, 4029.0, 4029.0, 1489.9112860432147, 0, 2957.7365587987333, 4029.0, 1012.4497470884537, 793.8810273658956, 583.5309071698789]","[(167.772, 0.11586666666666666, 0.0994), (28.00533333333333, 10.849266666666667, 10.8736), (349.525, 5.339466666666667, 2.7218), 0, (282.41606666666667, 0.0, 0.0), (320.86379999999997, 0.6452, 0.0048), (483.74273333333326, 0.012666666666666665, 0.18913333333333332), (1599.4273999999998, 0.17526666666666668, 1.018), (1269.4758, 0.3529333333333333, 0.49439999999999995), (156.58720000000002, 6.666666666666668e-05, 0.001066666666666667), 0, (364.904, 0.0027333333333333333, 0.0014666666666666665), (164.2764, 0.008733333333333333, 0.0061333333333333335), (48.234, 0.0009333333333333332, 6.666666666666668e-05), (159.3834, 0.0022666666666666664, 0.0018), (2.7962, 0.004533333333333333, 6.666666666666668e-05)]","[(2, 0.0, 0.0009611111111111112), (3, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.01048888888888889), 0, (3, 0.00675, 0.003411111111111111), (1, 0.0, 0.0002222222222222222), (2, 0.07776666666666666, 0.0032166666666666654), (3, 0.0005166666666666667, 0.18142777777777777), (3, 0.1731833333333333, 0.38794999999999996), (3, 0.0, 0.0002833333333333333), 0, (3, 0.0012833333333333332, 0.025400000000000002), (2, 0.0, 8.88888888888889e-05), (1, 0.0, 0.0006611111111111111), (1, 0.27031666666666665, 0.012972222222222222), (2, 0.0, 0.0010833333333333333)]","[20, 27, 25, -1, 30, 35, 26, 7, 31, 32, -1, 23, 34, 28, 33, 29]","[15, 6, 10, -1, 2, 2, 7, 8, 4, 6, -1, 7, 14, 6, 2, 2]","[True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True]"
28,15,"[1154.1194728238213, 1148.5784311327734, 5161.924842736884, 0, 1320.2655306736276, 1317.298517921692, 574.2892648304356, 0, 4252.576912042853, 1118.528533308117, 454.0891471920266, 2560.9290778649356, 2047.1528695743666, 0, 707.8447984684265, 514.1891307686467]","[4029.0, 2029.5249489123282, 4029.0, 0, 1362.6160362155294, 1359.649023463594, 1021.1800934827501, 4029.0, 4029.0, 1999.4750510876718, 4029.0, 3007.8199065172503, 4029.0, 4029.0, 750.1953040103283, 556.5396363105485]","[(176.16013333333333, 1.632466666666667, 0.017733333333333334), (29.18493333333334, 11.238933333333332, 11.264533333333333), (553.6476, 10.710466666666667, 4.053266666666667), 0, (459.97486666666657, 0.0, 0.0), (301.98920000000004, 0.6321333333333333, 0.005666666666666668), (522.8896, 0.0003333333333333333, 0.0004), (1652.5552, 0.23406666666666665, 1.0530666666666666), (1974.1186, 0.14053333333333334, 0.48906666666666665), (97.867, 0.0, 0.001), (29.621666666666673, 4.1293999999999995, 4.1416), (271.9302, 0.0026666666666666666, 0.0020666666666666667), (545.259, 0.6861333333333334, 1.4692), (35.651199999999996, 0.001066666666666667, 6.666666666666668e-05), (173.3644, 0.0022, 0.0016), (41.943, 0.0044666666666666665, 6.666666666666668e-05)]","[(3, 0.0, 0.0001388888888888889), (3, 0.0, 4.4444444444444447e-05), (2, 0.0, 0.008927777777777778), 0, (3, 0.0192, 0.013244444444444444), (1, 0.0, 0.00025), (2, 0.6217333333333334, 0.037983333333333334), (3, 6.666666666666667e-05, 0.19762222222222223), (3, 1.666666666666667e-05, 0.31198333333333333), (3, 0.008, 0.00039999999999999996), (3, 0.0, 1.6666666666666667e-05), (3, 0.005633333333333334, 0.03143333333333334), (1, 0.07585, 0.04698333333333333), (1, 0.0, 0.0006277777777777777), (1, 0.2694166666666667, 0.013116666666666667), (2, 0.0, 0.0010444444444444444)]","[36, 27, 25, -1, 30, 35, 26, 7, 31, 32, 38, 23, 39, 28, 33, 29]","[3, 6, 10, -1, 2, 2, 7, 8, 4, 6, 15, 7, 14, 5, 2, 2]","[True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
29,16,"[1875.0732823255908, 1181.9673390145404, 3255.4183193198332, 2180.662757134983, 1269.8284205130622, 1309.0825188494155, 570.95037375584, 922.7020845904912, 3235.722332789209, 1121.86742445232, 1315.5229705416066, 0, 1922.54356446984, 1646.6233023008167, 787.9781718799467, 507.5113498495734]","[4029.0, 2044.5499572811102, 4029.0, 4029.0, 1308.4783052400626, 1347.732403576416, 2299.9751868779204, 4029.0, 4029.0, 1984.4500427188898, 1848.949834120395, 1729.02481312208, 4029.0, 2180.050165879605, 826.6280566069472, 546.1612345765739]","[(214.6078, 3.082733333333333, 0.04673333333333334), (29.79646666666667, 11.306333333333336, 11.331333333333335), (503.316, 17.2942, 4.714533333333334), (473.9556, 4.806, 0.02386666666666667), (363.5057333333333, 0.0, 0.0), (333.44653333333326, 0.6355333333333333, 0.0052), (428.5174, 0.0031333333333333335, 0.0476), (97.867, 0.5311333333333333, 0.4374666666666666), (1730.8488, 0.18693333333333337, 0.49646666666666667), (81.0898, 0.0, 0.001), (29.53446666666667, 12.107333333333337, 12.139266666666664), (274.72646666666674, 0.0041333333333333335, 0.009866666666666668), (738.1968, 0.7232666666666667, 1.2136), (125.829, 0.9397333333333332, 0.7602666666666668), (164.9758, 0.0023333333333333335, 0.0016666666666666668), (53.1278, 0.004533333333333333, 6.666666666666668e-05)]","[(3, 0.0, 0.00015555555555555556), (3, 0.0, 1.6666666666666667e-05), (2, 2.327875, 0.009094444444444445), (1, 0.0, 0.005094444444444444), (3, 0.10526666666666666, 0.011727777777777776), (1, 0.0, 0.0002111111111111111), (2, 0.6187666666666667, 0.009888888888888888), (1, 0.0, 0.0014666666666666662), (3, 1.666666666666667e-05, 0.20562222222222223), (3, 0.0, 0.0), (3, 0.0, 1.6666666666666667e-05), (3, 0.0009833333333333335, 0.03336666666666666), (1, 0.0017166666666666665, 0.0023777777777777777), (2, 0.0, 0.009888888888888888), (1, 0.2995333333333334, 0.013277777777777779), (2, 0.0, 0.001027777777777778)]","[36, 27, 25, 37, 30, 35, 26, 40, 31, 32, 38, 23, 39, 41, 33, 29]","[3, 6, 10, 12, 2, 2, 7, 11, 4, 6, 15, 7, 14, 15, 2, 2]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
30,16,"[1510.1460454172877, 0, 0, 1462.6758357381586, 1240.1595321833177, 1207.75186362467, 617.6948488001779, 925.6689723222934, 2452.592537423716, 1105.1729687313032, 1135.2228679800667, 1115.1894634134223, 2011.5502109730733, 1622.8881916370212, 757.9281568506268, 0]","[4029.0, 1461.9135156343484, 4029.0, 4029.0, 1917.1303025053362, 1612.6008263257984, 4029.0, 4029.0, 4029.0, 2567.086484365652, 1770.6673381715227, 4029.0, 2416.399173674202, 2258.3326618284773, 1434.8989271726452, 676.9707703220184]","[(434.80906666666664, 2.7484, 0.018466666666666666), (29.66546666666667, 11.591533333333333, 11.616), (570.4248, 42.85653333333333, 4.105333333333333), (384.4776, 1.923, 0.024933333333333335), (380.283, 0.0, 0.0), (333.44653333333326, 0.7292666666666667, 0.004666666666666667), (371.8944, 0.0048, 0.06446666666666667), (114.6442, 0.5428, 0.4749333333333333), (1356.158, 0.1402, 0.49906666666666666), (117.4404, 0.0, 0.001), (31.3258, 10.272666666666666, 10.300266666666666), (499.1218, 0.0016666666666666668, 0.0011333333333333332), (564.8324, 0.6947333333333332, 1.3258666666666665), (139.81, 0.972, 0.7780666666666667), (162.1796, 0.0022, 0.0016666666666666668), (100.6632, 0.0044666666666666665, 0.00013333333333333334)]","[(3, 0.0, 0.00023888888888888888), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.005988888888888888), (1, 0.0, 0.005011111111111111), (3, 0.006966666666666668, 0.010794444444444445), (1, 0.0, 0.00021666666666666668), (2, 0.6185666666666666, 0.005033333333333333), (1, 0.0, 0.001527777777777778), (3, 8.333333333333333e-05, 0.11315), (3, 0.0, 0.0), (3, 0.0, 4.4444444444444447e-05), (2, 0.0, 0.0010999999999999998), (1, 0.00225, 0.06516111111111111), (2, 0.0, 0.011461111111111111), (1, 0.27321666666666666, 0.013138888888888891), (2, 0.0, 0.001077777777777778)]","[36, 27, 25, 37, 30, 35, 26, 40, 31, 32, 38, 42, 39, 41, 33, 29]","[3, 6, 10, 12, 2, 14, 7, 11, 4, 6, 15, 0, 14, 15, 2, 2]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
31,16,"[1501.2453811024511, 644.4058826961312, 628.9803113908888, 2530.7555535185593, 1243.126421016292, 1246.093192628628, 0, 928.6358600540952, 2677.21116090064, 1131.8840978849303, 1145.2395403445964, 1175.2894943758222, 2940.186222823474, 1578.3848591424044, 838.0615302621467, 517.5280212281833]","[4029.0, 1770.7608924056003, 4029.0, 3021.113766145188, 2217.0324453770727, 1167.4534849025772, 4029.0, 4029.0, 4029.0, 2258.2391075943997, 1797.927340601096, 4029.0, 2861.5465150974233, 2231.072659398904, 1811.9675546229273, 1007.8862338548121]","[(348.1266, 1.8001333333333334, 0.6946), (32.15606666666666, 0.0009333333333333332, 6.666666666666668e-05), (320.1647333333333, 0.0011333333333333332, 0.0015333333333333334), (419.43, 3.8347333333333333, 0.0464), (353.719, 0.0, 0.0), (415.23546666666675, 0.7115333333333334, 0.006666666666666668), (318.06759999999997, 0.003933333333333333, 0.06373333333333334), (109.0518, 0.5416666666666666, 0.5044666666666666), (1227.5328, 0.18566666666666662, 0.4779333333333333), (75.4974, 0.0, 0.001), (31.238400000000002, 10.958333333333334, 10.986266666666667), (553.6476, 0.0017333333333333335, 0.0015333333333333334), (1015.0211999999999, 0.7137333333333332, 1.397666666666667), (184.5492, 0.9548666666666666, 0.7652666666666668), (229.2884, 0.002533333333333333, 0.0018), (58.7202, 0.004733333333333333, 0.00013333333333333334)]","[(3, 0.0, 0.00039999999999999996), (1, 0.0, 0.000638888888888889), (2, 0.0037166666666666667, 0.0028777777777777777), (1, 0.00031666666666666665, 0.004988888888888889), (3, 0.04356666666666667, 0.009866666666666668), (1, 0.0, 0.0005666666666666666), (2, 0.6186833333333334, 0.003605555555555555), (1, 0.0, 0.0017222222222222224), (3, 3.3333333333333335e-05, 0.15232222222222222), (3, 0.048083333333333346, 0.01686666666666667), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0005222222222222223), (1, 1.0436000000000003, 0.5150888888888889), (2, 1.666666666666667e-05, 0.010605555555555557), (1, 0.30451666666666666, 0.013744444444444445), (2, 0.0, 0.0010944444444444443)]","[36, 43, 44, 37, 30, 35, 26, 40, 31, 32, 38, 42, 39, 41, 33, 45]","[3, 6, 10, 12, 2, 14, 7, 11, 4, 6, 15, 0, 14, 15, 2, 12]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
32,16,"[976.1061865270877, 647.744773280049, 634.9140879134446, 1379.6029687996834, 1308.39797534173, 1084.51187754052, 628.9803113908888, 931.6027477858978, 6028.278192232053, 1131.8840978849303, 1218.6951376844836, 1121.8672446314667, 2067.9210870917877, 1622.8881916370212, 804.6726246740133, 510.85024030910995]","[4029.0, 1187.8750457614265, 4029.0, 2448.876364245287, 2266.3626753338585, 1522.795395224366, 1169.110583872266, 4029.0, 4029.0, 1672.0143703663075, 1812.4034730237313, 4029.0, 2506.204604775634, 2216.596526976269, 1762.6373246661415, 1580.1236357547134]","[(230.686, 0.866, 0.3906666666666667), (35.6514, 0.001, 0.0), (300.59133333333324, 0.0011333333333333332, 0.0015333333333333334), (442.49846666666673, 3.044, 0.055333333333333345), (342.5342, 0.0, 0.0), (202.37446666666668, 0.6932, 0.0088), (320.1647333333333, 0.0011333333333333332, 0.0015333333333333334), (109.0518, 0.5368666666666667, 0.4758666666666667), (1551.892, 0.19686666666666666, 1.39), (75.4974, 0.0, 0.001), (30.75773333333333, 11.004733333333336, 11.030333333333335), (461.3726, 0.008400000000000001, 0.008866666666666667), (679.4766, 0.7587999999999999, 1.3356666666666668), (131.4214, 0.9578666666666666, 0.7716000000000001), (218.1036, 0.0024, 0.0018), (50.3316, 0.004666666666666667, 0.00013333333333333334)]","[(3, 1.666666666666667e-05, 0.0003444444444444445), (1, 0.0, 0.0006222222222222223), (2, 0.0004, 0.0023666666666666667), (1, 0.0, 0.004972222222222222), (3, 0.016566666666666667, 0.010016666666666667), (1, 0.0, 0.00025), (2, 0.0037166666666666667, 0.0028777777777777777), (1, 0.0, 0.0017166666666666667), (3, 0.0001, 0.1530611111111111), (3, 0.0, 0.0), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0004944444444444445), (1, 0.0012666666666666666, 0.0020055555555555556), (2, 0.0, 0.010555555555555558), (1, 0.2717833333333333, 0.013722222222222224), (2, 0.0, 0.0010555555555555557)]","[36, 43, 44, 37, 30, 35, 46, 40, 31, 32, 38, 42, 39, 41, 33, 45]","[3, 6, 10, 12, 2, 14, 6, 11, 4, 6, 15, 0, 14, 15, 2, 12]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
33,16,"[0, 631.0503203604601, 0, 1530.9142621519063, 1406.3053068298868, 1229.6611944840745, 634.9140879134446, 925.6689723222934, 6374.312287858666, 1111.8507510197098, 1191.9840113790701, 1035.0560887968888, 2038.2522049240424, 1596.1861921402513, 781.3003907623198, 510.85024030910995]","[4029.0, 1181.4452672625885, 4029.0, 2524.532010921398, 2327.0024580337836, 1610.2044947800161, 1185.309034815573, 4029.0, 4029.0, 1662.2456979218382, 1812.3989096194096, 4029.0, 2418.795505219984, 2216.601090380591, 1701.9975419662164, 1504.467989078602]","[(331.3495333333333, 4.365933333333333, 0.022533333333333336), (48.234, 0.001066666666666667, 0.0), (288.00833333333327, 0.0011333333333333332, 0.0014), (440.4012, 3.206266666666667, 0.1867333333333333), (350.92293333333333, 0.0, 0.0), (105.9056, 0.6556666666666666, 0.0064), (300.59133333333324, 0.0011333333333333332, 0.0015333333333333334), (95.0708, 0.5381333333333334, 0.44586666666666674), (1736.4414, 0.2492666666666667, 1.2721333333333333), (83.886, 0.0, 0.001), (30.932599999999997, 11.007200000000001, 11.033333333333335), (448.7898, 0.009933333333333334, 0.0104), (654.3108000000001, 0.7628666666666667, 1.1362666666666668), (153.791, 0.9633999999999999, 0.7669333333333332), (159.3834, 0.0021333333333333334, 0.0016), (47.5354, 0.004533333333333333, 0.00013333333333333334)]","[(3, 0.0, 0.00019444444444444446), (1, 0.0, 0.0006333333333333333), (2, 0.00026666666666666673, 0.002455555555555556), (1, 1.666666666666667e-05, 0.0052), (3, 0.007016666666666667, 0.010272222222222223), (1, 0.0, 0.00020555555555555556), (2, 0.0004, 0.0023666666666666667), (1, 0.0, 0.0017277777777777773), (3, 0.00015, 0.2104), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0004944444444444445), (1, 0.011416666666666664, 0.047094444444444446), (2, 0.0, 0.0117), (1, 0.30378333333333335, 0.013861111111111112), (2, 0.0, 0.0011222222222222222)]","[36, 43, 44, 37, 30, 35, 46, 40, 31, 32, 38, 42, 39, 41, 33, 45]","[3, 6, 10, 12, 2, 14, 6, 11, 4, 6, 15, 0, 14, 15, 2, 12]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
34,16,"[2047.1528695743666, 644.4058826961312, 744.572766635591, 1483.4440524727775, 1435.9741951596309, 1150.2398701187337, 557.7749931202221, 934.5696355177, 3703.171900565511, 1101.8340775871, 1198.6617929554236, 1051.750541842, 2070.887975308562, 1655.52396879974, 0, 510.85024030910995]","[4029.0, 1219.4008982283135, 1919.5015655589455, 2500.7969060818336, 2732.487097579816, 1554.1759474050857, 1132.7700086524042, 2109.4984344410545, 4029.0, 1676.829093119282, 1786.0689120778418, 4029.0, 2474.824052594914, 2242.9310879221584, 1296.5129024201847, 1528.2030939181664]","[(545.259, 0.6861333333333334, 1.4692), (41.94273333333333, 0.0009333333333333332, 6.666666666666668e-05), (142.60586666666666, 0.0007333333333333332, 0.0006), (478.84913333333344, 2.3301999999999996, 0.8102), (423.62406666666664, 0.0, 0.0), (111.1484, 0.6268666666666667, 0.0044666666666666665), (288.00833333333327, 0.0011333333333333332, 0.0014), (92.2746, 0.5394, 0.44333333333333325), (1493.1718, 0.1692, 0.7876000000000001), (83.886, 0.0, 0.001), (29.2284, 11.277066666666668, 11.304066666666667), (450.1882666666667, 0.0092, 0.009466666666666667), (506.11220000000003, 0.7000666666666667, 1.4158), (125.829, 0.9370666666666667, 0.7570666666666667), (243.2694, 0.004200000000000001, 0.0016666666666666668), (55.924, 0.004733333333333333, 6.666666666666668e-05)]","[(1, 0.07585, 0.04698333333333333), (1, 0.0, 0.0006222222222222223), (1, 0.0, 0.02883888888888889), (1, 0.0, 0.004461111111111111), (3, 0.06570000000000001, 0.009933333333333334), (1, 0.0, 0.00023333333333333333), (2, 0.00026666666666666673, 0.002455555555555556), (1, 0.0, 0.0022722222222222224), (3, 0.0001, 0.13415555555555556), (3, 0.0, 0.0), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0005166666666666667), (1, 0.0675, 0.04805), (2, 0.06273333333333334, 0.031105555555555553), (1, 0.3003, 0.015455555555555556), (2, 0.0, 0.0010555555555555555)]","[47, 43, 48, 37, 30, 35, 46, 40, 31, 32, 38, 42, 39, 41, 33, 45]","[1, 6, 11, 12, 2, 14, 6, 11, 4, 6, 15, 0, 14, 15, 2, 12]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
35,16,"[1922.54356446984, 641.0669921122135, 554.2559608139378, 949.4041935825778, 1421.1397509947585, 733.962583790049, 590.4107639942779, 0, 3949.038231668631, 1118.528533308117, 1178.6284482263632, 1055.0894324510223, 1964.079999504682, 2278.570623724373, 3815.4812123039737, 510.85024030910995]","[4029.0, 1200.7315623073441, 2291.627980406969, 2233.7769766367337, 4029.0, 1399.4412921426833, 1150.0753341894083, 1737.3720195930312, 4029.0, 1678.1931035032476, 1464.528912250995, 4029.0, 2629.558707857316, 2564.471087749005, 4029.0, 1795.223023363266]","[(738.1968, 0.7232666666666667, 1.2136), (39.8456, 0.0008666666666666667, 6.666666666666668e-05), (98.56566666666669, 0.0007333333333333332, 0.0002666666666666667), (333.44686666666666, 0.9099333333333333, 0.8626), (528.4818, 0.0, 0.0), (80.73986666666669, 0.6493333333333333, 0.004200000000000001), (311.7758666666666, 0.0011333333333333332, 0.0015333333333333334), (226.49220000000003, 0.5299333333333333, 0.43666666666666676), (1484.7831999999999, 0.21580000000000002, 0.8416666666666666), (83.886, 0.0, 0.001), (27.96146666666667, 11.744666666666664, 11.770666666666664), (461.373, 0.0016666666666666668, 0.0013333333333333333), (713.031, 0.7426, 1.2830666666666666), (226.49220000000003, 0.9202666666666668, 0.7430666666666668), (1426.063, 0.14286666666666667, 0.5943999999999999), (58.7202, 0.0046, 6.666666666666668e-05)]","[(1, 0.0017166666666666665, 0.0023777777777777777), (1, 0.0, 0.000638888888888889), (1, 0.0, 0.0016666666666666668), (1, 0.0, 0.004088888888888889), (3, 0.012783333333333334, 0.009422222222222222), (1, 0.0, 0.0002222222222222222), (2, 0.0, 0.002388888888888889), (1, 0.0007666666666666667, 0.00215), (3, 0.0001, 0.17663333333333334), (3, 0.0, 0.0), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.01923888888888889), (1, 0.0019333333333333331, 0.002327777777777778), (2, 0.09268333333333334, 0.011455555555555556), (3, 0.005116666666666666, 0.1869), (2, 0.0, 0.0010388888888888887)]","[47, 43, 48, 37, 30, 35, 46, 40, 31, 32, 38, 42, 39, 41, 49, 45]","[1, 6, 11, 12, 2, 14, 6, 11, 4, 6, 15, 0, 14, 15, 5, 12]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
36,16,"[2011.5502109730733, 621.0336486087066, 597.6615481065954, 732.8213619215522, 0, 928.4078951672633, 534.03988703, 628.9803113908888, 3566.579494397111, 1108.5118598755066, 1141.90064955642, 1038.394979405911, 2079.788639958885, 1590.2524144743022, 2446.521763816231, 510.85024030910995]","[4029.0, 1209.505183437302, 4029.0, 2125.485560806221, 4029.0, 1438.8096276041892, 1122.5114218585954, 4029.0, 4029.0, 1696.983394704102, 1790.324117541059, 4029.0, 2590.190372395811, 2238.6758824589415, 4029.0, 1903.5144391937788]","[(564.8324, 0.6947333333333332, 1.3258666666666665), (55.92373333333333, 0.0009333333333333332, 6.666666666666668e-05), (121.6344, 0.0005333333333333334, 0.0002), (199.92773333333332, 0.9031333333333333, 0.010666666666666666), (429.21633333333324, 0.0, 0.0), (90.177, 0.6436666666666666, 0.004533333333333333), (325.75713333333334, 0.0011333333333333332, 0.0014666666666666665), (320.1647333333333, 0.0011333333333333332, 0.0015333333333333334), (1644.1666, 0.15380000000000002, 0.6252666666666667), (41.943, 0.0, 0.001), (28.00533333333333, 10.849266666666667, 10.8736), (450.1881333333334, 0.0015333333333333334, 0.0012), (458.5768, 0.723, 1.306), (142.6062, 0.9306666666666665, 0.7520666666666668), (1311.4188000000001, 0.1956, 0.7402000000000001), (8.3886, 0.0046, 6.666666666666668e-05)]","[(1, 0.00225, 0.06516111111111111), (1, 0.0, 0.0006555555555555555), (1, 0.0, 0.0015388888888888887), (1, 0.0, 0.005077777777777777), (3, 0.381, 0.012), (1, 0.0, 0.0002222222222222222), (2, 0.0006666666666666666, 0.0023944444444444447), (2, 0.0037166666666666667, 0.0028777777777777777), (3, 5e-05, 0.16941111111111112), (3, 0.0, 0.0), (3, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.0005), (1, 0.059366666666666665, 0.06801666666666667), (2, 0.0, 0.012455555555555557), (3, 0.0006, 0.11304444444444445), (2, 0.0, 0.00105)]","[47, 43, 48, 37, 30, 35, 46, 50, 31, 32, 38, 42, 39, 41, 49, 45]","[1, 6, 11, 12, 2, 14, 6, 8, 4, 6, 15, 0, 14, 15, 5, 12]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
37,16,"[2940.186222823474, 637.7281015282955, 554.2559608139378, 0, 3815.4812123039737, 1174.8878673355634, 522.1723339848888, 634.9140879134446, 4726.09725342664, 1115.189642163913, 1148.5784311327734, 0, 2871.947793837662, 1563.5504149775322, 2303.8585840403466, 0]","[4029.0, 1222.3647423025964, 4029.0, 2014.5, 4029.0, 1165.9700367489506, 1106.8089747591898, 4029.0, 4029.0, 1699.8262829382138, 1807.0140080776205, 4029.0, 2863.0299632510496, 2221.985991922379, 4029.0, 2014.5]","[(1015.0211999999999, 0.7137333333333332, 1.397666666666667), (48.234, 0.001066666666666667, 0.0), (125.82866666666669, 0.0007333333333333332, 0.0002666666666666667), (167.77133333333336, 0.8164666666666667, 0.02233333333333333), (1426.063, 0.14286666666666667, 0.5943999999999999), (88.07973333333334, 0.8984, 0.004200000000000001), (304.78553333333326, 0.0011333333333333332, 0.0014666666666666665), (300.59133333333324, 0.0011333333333333332, 0.0015333333333333334), (1434.4516, 0.22206666666666663, 0.8742666666666667), (41.943, 0.0, 0.001), (29.18493333333334, 11.238933333333332, 11.264533333333333), (471.1595333333333, 0.0023333333333333335, 0.0020666666666666667), (824.879, 0.7441333333333333, 1.3625333333333334), (117.4404, 0.9303333333333335, 0.7412666666666667), (1255.4948, 0.13406666666666667, 0.4640666666666667), (22.3696, 0.004533333333333333, 6.666666666666668e-05)]","[(1, 1.0436000000000003, 0.5150888888888889), (1, 0.0, 0.0006055555555555556), (1, 0.0, 0.00165), (1, 0.0, 0.005544444444444444), (3, 0.005116666666666666, 0.1869), (1, 0.0, 0.00032777777777777775), (2, 6.666666666666667e-05, 0.0023833333333333337), (2, 0.0004, 0.0023666666666666667), (3, 0.0001, 0.21292777777777777), (3, 0.0, 0.0), (3, 0.0, 4.4444444444444447e-05), (2, 0.0, 0.0004777777777777777), (1, 1.0255833333333333, 0.54465), (2, 0.0, 0.010772222222222223), (3, 1.666666666666667e-05, 0.12178333333333334), (2, 0.0, 0.0010722222222222222)]","[47, 43, 48, 37, 51, 35, 46, 50, 31, 32, 38, 42, 39, 41, 49, 45]","[1, 6, 11, 12, 13, 14, 6, 8, 4, 6, 15, 0, 14, 15, 5, 12]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
38,16,"[2067.9210870917877, 637.7281015282955, 0, 2240.395480738335, 2446.521763816231, 1366.594512355352, 531.0729987687222, 0, 3065.7406717796443, 1115.189642163913, 1181.9673390145404, 644.4058826961312, 1993.7488816724258, 1554.649748478609, 2662.034226881929, 652.7155422502]","[4029.0, 912.8789452390299, 4029.0, 4029.0, 4029.0, 1700.922815341463, 806.2238424794566, 4029.0, 4029.0, 1390.3404858746476, 1828.1587952679656, 919.5567264068657, 2328.0771846585367, 2200.8412047320344, 4029.0, 4029.0]","[(679.4766, 0.7587999999999999, 1.3356666666666668), (35.6514, 0.001, 6.666666666666668e-05), (98.56533333333331, 0.0005333333333333334, 0.0002), (973.0777333333333, 0.10640000000000001, 0.744), (1311.4188000000001, 0.1956, 0.7402000000000001), (108.00293333333333, 1.1823333333333332, 0.0031333333333333335), (258.64813333333325, 0.0011333333333333332, 0.0015333333333333334), (288.00833333333327, 0.0011333333333333332, 0.0014), (1392.5086000000001, 0.1512, 0.6417333333333333), (75.4974, 0.0, 0.001), (29.79646666666667, 11.306333333333336, 11.331333333333335), (32.15606666666666, 0.0009333333333333332, 6.666666666666668e-05), (721.4196, 0.7326, 1.4462000000000002), (83.886, 0.8937333333333333, 0.7318666666666667), (1470.8021999999999, 0.18553333333333333, 0.47233333333333327), (433.41086666666666, 0.0023333333333333335, 0.0030666666666666668)]","[(1, 0.0012666666666666666, 0.0020055555555555556), (1, 0.0, 0.000638888888888889), (1, 0.0, 0.0015500000000000002), (3, 0.0, 0.025061111111111114), (3, 0.0006, 0.11304444444444445), (1, 0.0, 0.00023333333333333333), (2, 0.0010333333333333334, 0.0024222222222222223), (2, 0.00026666666666666673, 0.002455555555555556), (3, 6.666666666666667e-05, 0.11822222222222224), (3, 0.0, 0.0), (3, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.000638888888888889), (1, 0.0, 0.0003444444444444444), (2, 0.0, 0.007866666666666668), (3, 1.666666666666667e-05, 0.1395388888888889), (1, 0.011300000000000001, 0.0010833333333333333)]","[47, 43, 48, 52, 51, 35, 46, 50, 31, 32, 38, 53, 39, 41, 49, 54]","[1, 6, 10, 11, 13, 14, 6, 8, 4, 6, 15, 6, 14, 15, 5, 12]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
