cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5,cpu_6,ram_6,disk_6,cpu_7,ram_7,disk_7,cpu_8,ram_8,disk_8,cpu_9,ram_9,disk_9,cpu_10,ram_10,disk_10,cpu_11,ram_11,disk_11,cpu_12,ram_12,disk_12,cpu_13,ram_13,disk_13,cpu_14,ram_14,disk_14,cpu_15,ram_15,disk_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,335.544,3.0,0.0,0.0,0.0,100.0,29.621666666666673,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,457.3530666666667,6.0,0.0,0.0,0.0,100.0,267.736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,279.6198,4.0,100.0,29.621666666666673,3.0,0.0,0.0,0.0,100.0,852.8408666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,402.65259999999995,3.0,100.0,178.9568,1.0,0.0,0.0,0.0,100.0,60.94746666666667,6.0,100.0,128.62506666666664,2.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,3.0,0.0,0.0,0.0
99.97517994539588,614.6391333333332,7.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,854.239,4.0,0.0,0.0,0.0,100.0,125.829,3.0,100.0,306.18366666666674,3.0,100.0,339.738,3.0,100.0,75.84646666666666,2.0,0.0,0.0,0.0,100.0,60.77286666666667,6.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,6.0,100.0,100.6632,2.0
100.0,869.4426666666667,10.0,100.0,31.3258,3.0,100.0,72.7008,2.0,100.0,332.7478,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,281.018,3.0,100.0,343.93240000000003,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.083533333333335,6.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,134.2176,4.0,100.0,150.9948,2.0
99.97517994539588,918.3326000000001,10.0,0.0,0.0,0.0,100.0,75.49706666666667,2.0,100.0,377.487,3.0,0.0,0.0,0.0,100.0,170.56820000000002,3.0,100.0,255.852,3.0,100.0,306.18359999999996,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.171,6.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,226.49220000000003,4.0,100.0,150.9948,2.0
100.0,1026.2048666666665,7.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,321.563,3.0,0.0,0.0,0.0,100.0,128.6252,3.0,100.0,226.49179999999998,3.0,100.0,322.961,3.0,100.0,30.75773333333333,3.0,0.0,0.0,0.0,100.0,59.98613333333333,6.0,0.0,0.0,0.0,100.0,0.0,2.0,100.0,184.549,1.0,100.0,271.2314,4.0,100.0,184.5492,2.0
100.0,1139.451,6.0,0.0,0.0,0.0,100.0,92.27413333333331,2.0,100.0,343.9326,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,209.7148,3.0,100.0,301.98940000000005,3.0,100.0,30.932599999999997,3.0,0.0,0.0,0.0,100.0,81.26366666666667,9.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,232.0846,4.0,100.0,218.1036,2.0
100.0,1105.1977333333334,8.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,478.1502,3.0,0.0,0.0,0.0,100.0,268.4352,3.0,100.0,255.852,3.0,100.0,328.5532,3.0,100.0,29.2284,3.0,0.0,0.0,0.0,100.0,57.23373333333333,6.0,0.0,0.0,0.0,100.0,39.146666666666654,1.0,0.0,0.0,0.0,100.0,181.753,4.0,100.0,268.4352,2.0
99.97517994539588,1194.6752666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,461.373,3.0,0.0,0.0,0.0,100.0,248.8618,3.0,100.0,339.7382,5.0,100.0,282.41606666666667,3.0,100.0,27.96146666666667,3.0,0.0,0.0,0.0,100.0,72.70066666666666,6.0,0.0,0.0,0.0,100.0,104.85699999999997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33.5544,2.0
100.0,994.7475999999999,6.0,0.0,0.0,0.0,100.0,86.68193333333333,2.0,100.0,416.6338,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,352.3209333333333,5.0,100.0,459.97486666666657,3.0,100.0,28.00533333333333,3.0,0.0,0.0,0.0,100.0,72.74453333333332,6.0,0.0,0.0,0.0,100.0,106.25519999999997,2.0,0.0,0.0,0.0,100.0,164.9758,1.0,100.0,369.0984,2.0
99.97517994539588,1126.1692,5.0,100.0,473.9556,1.0,100.0,85.284,2.0,100.0,402.6528,3.0,0.0,0.0,0.0,100.0,204.1226,3.0,100.0,190.14146666666667,3.0,100.0,473.9556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,528.3067333333333,5.0,0.0,0.0,0.0,100.0,67.1084,2.0,0.0,0.0,0.0,100.0,67.1088,3.0,100.0,1157.6274666666666,2.0
100.0,1442.1402,4.0,100.0,125.829,3.0,0.0,0.0,0.0,100.0,363.506,3.0,0.0,0.0,0.0,100.0,181.753,3.0,100.0,329.95140000000004,5.0,100.0,938.1252,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.79646666666667,3.0,0.0,0.0,0.0,100.0,67.10819999999998,2.0,0.0,0.0,0.0,100.0,47.5354,3.0,100.0,167.772,2.0
100.0,1240.8136,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,422.2262,3.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97517994539588,348.1268,5.0,100.0,880.8026,3.0,100.0,125.829,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,76.89493333333333,2.0,0.0,0.0,0.0,100.0,492.13120000000004,4.0,100.0,536.8704,2.0
100.0,1231.7261333333333,5.0,0.0,0.0,0.0,100.0,170.56820000000002,3.0,100.0,433.411,3.0,100.0,97.867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,891.2882666666667,3.0,100.0,299.19326666666666,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,72.70073333333335,2.0,0.0,0.0,0.0,100.0,476.0528666666667,4.0,100.0,738.197,2.0
99.97517994539588,1012.9232666666666,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,369.0984,3.0,100.0,114.6442,1.0,0.0,0.0,0.0,100.0,226.49220000000003,2.0,100.0,890.5894666666668,3.0,99.97517994539588,290.80446666666666,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,107.65326666666667,2.0,0.0,0.0,0.0,100.0,479.548,4.0,100.0,352.32120000000003,2.0
100.0,1081.4294666666667,6.0,100.0,134.2176,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,142.6062,2.0,100.0,940.2221333333334,3.0,100.0,128.6252,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,176.16013333333333,3.0,100.0,117.4398,2.0,0.0,0.0,0.0,100.0,652.2135333333334,4.0,100.0,218.1036,2.0
100.0,982.1649333333334,4.0,100.0,268.4352,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,192.93746666666667,4.0,100.0,783.635,3.0,100.0,134.2176,3.0,0.0,0.0,0.0,100.0,178.9568,1.0,100.0,214.6078,3.0,100.0,104.8568,2.0,0.0,0.0,0.0,100.0,490.0340666666667,4.0,0.0,0.0,0.0
100.0,1077.2359333333334,4.0,100.0,248.8618,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,198.5298666666667,4.0,100.0,671.0872666666667,3.0,100.0,268.4352,3.0,0.0,0.0,0.0,100.0,192.93779999999998,1.0,100.0,434.80906666666664,3.0,100.0,104.857,2.0,0.0,0.0,0.0,100.0,297.79473333333334,4.0,0.0,0.0,0.0
100.0,1182.0938,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,184.5487333333333,4.0,100.0,620.7557333333334,3.0,100.0,248.8618,3.0,0.0,0.0,0.0,100.0,192.9378,3.0,100.0,348.1266,3.0,100.0,78.29326666666665,2.0,0.0,0.0,0.0,100.0,248.86113333333336,4.0,0.0,0.0,0.0
100.0,703.2443333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,524.2876,1.0,0.0,0.0,0.0,100.0,211.11286666666666,4.0,100.0,660.6018666666666,3.0,100.0,139.81,3.0,0.0,0.0,0.0,100.0,276.8238,3.0,100.0,230.686,3.0,100.0,90.87586666666667,2.0,0.0,0.0,0.0,100.0,304.0864666666667,4.0,0.0,0.0,0.0
100.0,717.2248,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,120.23660000000001,2.0,100.0,945.1154,3.0,0.0,0.0,0.0,100.0,123.73126666666663,2.0,100.0,271.2314,1.0,100.0,331.3495333333333,3.0,100.0,88.0796,2.0,0.0,0.0,0.0,100.0,517.2968000000001,4.0,0.0,0.0,0.0
100.0,425.72113333333334,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,388.67179999999996,2.0,0.0,0.0,0.0,100.0,884.2980666666665,3.0,0.0,0.0,0.0,100.0,109.0518,3.0,0.0,0.0,0.0,100.0,478.1502,3.0,100.0,79.69120000000001,2.0,0.0,0.0,0.0,100.0,996.1464,6.0,100.0,86.68193333333333,2.0
100.0,439.00306666666665,8.0,100.0,388.67179999999996,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,651.5146,2.0,100.0,142.6062,2.0,99.97517994539588,952.8050000000001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,104.8572,2.0,0.0,0.0,0.0,100.0,538.9676666666668,5.0,100.0,85.284,2.0
100.0,396.361,7.0,100.0,651.5146,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,369.0984,2.0,0.0,0.0,0.0,99.97517994539588,925.5421333333334,3.0,100.0,335.544,3.0,0.0,0.0,0.0,100.0,156.58720000000002,3.0,0.0,0.0,0.0,100.0,303.3869333333333,4.0,0.0,0.0,0.0,100.0,970.2814666666668,4.0,100.0,61.51606666666666,2.0
